"","dept","comments_RAP","comments_coding_practices","comments_coding_support","comments_survey","comments_other"
"45","Northern Ireland Statistics and Research Agency","I have awareness, but don't have skills or the time to develop these skills.","It isn't always possible to create all the requisite documentation in the time available","Examples of how to produce some of the simpler ideas - tables, identifying highest values etc. Online training would be good, but there is also a need to ensure the correct tools are ","An assessment of the proportion of time that is spent doing work that could be RAP'd and how much time could be saved.",NA
"48","Department for Education",NA,NA,"High level CPD on software use and understanding what they are and how to implement best practice.",NA,NA
"49","Department for Education",NA,NA,"Bitesize session? Teams training etc",NA,NA
"50","Ministry of Justice (excl. agencies)",NA,NA,"The professions setting the expectation that coding is no longer optional or a nice to have but an essential skill for quantitative analysts.  The professions also setting the expectation that analysts are responsible for their learning (and given time to do it), but that this learning shouldn't (in general) be a classroom based course but self directed/guided by line managers/peers.",NA,NA
"51","Department for Education",NA,NA,"help with the proxy settings and git",NA,NA
"53","Northern Ireland Statistics and Research Agency",NA,NA,"Online guides for basics on good practice in coding","N/A","N/A"
"54","Northern Ireland Statistics and Research Agency",NA,NA,"Being told what RAP means, and what it actually amounts to.  There are so many different coding languages out there it seems difficult to know which is most suitable, how that might change in the future, and whether everyone on one team can be trained to use one language.","No thank you.","I found it a bit strict.  In my work I run one script which I did not write.  I do amend it, but that to me is not coding, but it is using code.  "
"55","Northern Ireland Statistics and Research Agency",NA,NA,"basics on what it is and help with implementation",NA,NA
"57","Department for Education",NA,NA,"We had a coffee and coding in this but was a long time ago and would be good to have a refresh",NA,NA
"58","Department for Education",NA,NA,"A Coffee and Coding session on it",NA,NA
"60","Department for Education",NA,NA,NA,"Demogprahics might be interesting. Is it very white male based?",NA
"63","Northern Ireland Statistics and Research Agency",NA,NA,"What is it?",NA,"Need a definition of coding"
"64","Ministry of Housing, Communities and Local Government (excl. agencies)","I don't think the department emphasises RAP strongly enough. Too much analysis is done in an ad hoc way, with wildly differing practises between teams/people. Don't think there is a strong push from the centre. Analysis still too excel based.",NA,"Guidance/documentation.

Best practise examples.",NA,NA
"65","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,"some of the questions would better be answered by 'not currently relevant but this isn't an option",NA,NA,"a not currently relevant or similar would be helpful "
"67","Department for Transport (excl. agencies)","I have not used RAP before and my team does not use it so have neither the knowledge nor the incentive to build it.",NA,NA,NA,NA
"68","NHS",NA,"We have developers who deal with the storage side. Analysts just query/QA/analyse the data","Don't know","Collect info on the goals we are trying to achieve to assess relevance of these skills","It would be great if existing teams who have the skills and experience could teach across organisations in some way."
"75","Department for Education",NA,NA,"hands on data scientist support within the team on specific projects",NA,NA
"78","Other","I know what RAP is, but have not done any outside of loose Markdown. My current team do not use RAP.",NA,"Making the infrastructure easily accessible in the dept.",NA,NA
"79","Government Digital Service","most of my work isn't standard analysis that needs repeating","sometimes we use make",NA,NA,NA
"83","Department for Transport (excl. agencies)","The amount of input required to set up does not warrant getting out the figures some of my areas produce quarterly",NA,"Knowing what's available in the department and the relative strengths and weaknesses of each",NA,NA
"86","Department for Transport (excl. agencies)","We haven't capacity in our team to begin the project to RAP our processes",NA,"Practically, our largest barrier is time. We have very little float in our annual timetable to be able to do any development work at all, and I often work unrecorded overtime to make any progress in these areas. A push to have departments recognise protected development times, such as seen in Amazon et al, would be very helpful.",NA,NA
"87","Department for Education","I don't see evidence of RAP practices in my team",NA,NA,NA,NA
"88","Office for National Statistics",NA,NA,"Training for more advanced RAP concepts
More open examples of good practices
More guidance on why and how we should implement RAP",NA,NA
"94","Other",NA,NA,"Not sure","No","No"
"98","Department for Education",NA,NA,"More available training courses. Perhaps some guidance on useful online resources (there is loads of great stuff out there, but hard to know what to pick).

",NA,"Need more focus on good coding practices and coding standards, otherwise the code is impossible to maintain and unreliable.

Lots of people teaching each other poor practices as few analysts have basic computer science. Need a better mix of analytical skills (and stats), and good technical programming skills.

"
"99","HM Revenue and Customs","Line manager does not fully appreciate the benefits of RAP",NA,"Examples of other people's code/RAP in a similar work area",NA,NA
"102","Government Digital Service","We don't publish any statistics publicly.  We are beginning to do some semi-regular internal publications, but have only automated one or two, and aren't about to do any others.",NA,"The stick, probably, rather than the carrot","Maybe whether respondents think RAP *should* be used.",NA
"103","Government Digital Service",NA,NA,"Time","- Time people spend on learning and development
- How this time is agreed with manager and team (or whether it takes place outside working hours etc).
",NA
"105","Department for Business, Energy and Industrial Strategy (excl. agencies)","I think it's probably disproportionate for our Official Stats release, which is mainly produced by our contractors",NA,"In my current role this probably isn't necessary as I do very little data production","n/a",NA
"107","Northern Ireland Statistics and Research Agency",NA,NA,"Any sort of training. I have no coding background and have received minimal training. Most of the coding I do is on the basis of being self taught.",NA,NA
"108","Northern Ireland Statistics and Research Agency","I've automated as much as possible within SPSS but the production process still requires manual manipulation and moving between different softwares.

I'm trying to teach myself R alongside balancing my day to day work, but busy periods can interrupt any learning for weeks at a time.  I can see what R code is doing, but once i encounter an error i don't have the knowledge to understand the error and/or how to fix it.  Eg. I've tried to make my weighting more accurate by using R rather than excel and SPSS but no one seems to know where I've gone wrong so I've been stuck trying to fix an error for the best part of a year.",NA,"I'd be really helpful to have someone who could provide support when you get stuck.  Working through online training courses is fine, but real life applications are always more difficult and encouter errors that can be really confuding.",NA,NA
"110","Office for National Statistics",NA,NA,"More training on individual RAP elements",NA,NA
"111","Other",NA,NA,"Buy in from senior figures",NA,NA
"114","Welsh Government",NA,NA,"Training","Nope",NA
"115","Welsh Government",NA,NA,"Not relevant in my current role",NA,NA
"118","Welsh Government","not yet happening in my team",NA,"n/a","don't know",NA
"120","Welsh Government","While I would like to have RAP as part of my work, I do not feel that my department has access to the tools required to create a pipeline. At the moment I mostly use access and excel and occasionally VBA. However my IT department is looking to stop us using access and VBA in the near future.
We will be switching to SQL but do not have permissions to edit the data on the server.","My team very rarely uses code for our work. When it is it is also checked 'manually'. i.e. the same output will be generated with another method to verify.","Access to basic coding languages like python and R which are unavailable to my department at the moment. While there are rumors that we will soon have them available, our department head has been trying to get them for years.",NA,NA
"121","Welsh Government",NA,NA,"None","Data Analyst by Gender and Ethnicity. Few women take part so we need to know how we can encourage them to take part",NA
"122","Welsh Government",NA,NA,"Training, both at the senior and lower management levels, to help management to see the importance of it and lower levels to have the skills to implement it.",NA,NA
"124","Welsh Government",NA,NA,"IT overhaul","no",NA
"125","Welsh Government",NA,NA,"Better awareness and basic training eg online course",NA,NA
"126","Welsh Government",NA,NA,"online training courses","no",NA
"127","Welsh Government","I've heard about RAP in passing and that it's important for something, but no one has expanded on it, I just know some people in my department are thinking about RAP when doing certain pieces of work. ",NA,"I'm currently on a placement in our data science unit and this is helping me a lot with coding skills.","No",NA
"128","Welsh Government",NA,"I desperately want to use unit testing, but don't know how. 
I want to use open source software and open source code, but my department struggles to get sensitive data onto servers with open source software. 
There is no coding style guide for my department, nor consistent tools used by every team. ","1) Support getting access to appropriate software
2) Support on coding best practices (style guide, unit testing, structuring data)

Learning coding languages is the easy part. Learning  best practice for coding is harder, and very little is know about it in my department.",NA,NA
"129","Welsh Government","There isn't the ability/tools or motivation to look into it for the wider team. ",NA,"Need better access to new tools. WG still very restrictive. ",NA,NA
"131","Welsh Government",NA,NA,NA,NA,"I'm a SsTO outbedded into a newly created policy post so currently have minimal use for coding. "
"132","Welsh Government",NA,NA,"Knowing more about it, making coding courses more accessible for GSS members who are not employed by ONS.","More focus on training and development. Having worked in both ONS and WG there is definitely a gap in opportunities to access coding courses. GSS training is too ONS-centric currently.",NA
"133","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"More centralised guidance and training specifically dedicated to RAP",NA,NA
"134","Welsh Government",NA,NA,"Awareness raising on the benefits of RAP, with example/case studies
Guidance on resources
Ability to bring in expertise for some help/consultation on specific projects",NA,NA
"136","Welsh Government",NA,NA,"More training ",NA,NA
"137","Welsh Government",NA,NA,"Git tutorial",NA,NA
"138","Welsh Government","I'm not aware of any resources that are easily available within Welsh Gov to hep with implementing RAP and nor has it come up in discussions with senior staff who have been in the organisation for a long time.

My team tries to implement RAP but I don't think there is a standard approach to ensuring it is implemented. Perhaps we need more communication so people are aware what analyses team members are undertaking and whether there already is existing code that can be re-used ",NA,"Regular opportunities to learn and progress with a programming language. ONS Datacamp is useful but recently gaining a seat with them has proved difficult and I am not aware of any other opportunities within my organisation to develop my coding skills.

Re my team implementing RAP- we need to have a document outlining standard protocol and senior managemenet need to make it clear that the protocol must be followed","No","I don't believe there are sufficient training opportunities for GSG members to develop their programming and coding skills. Whilst I am happy to carry on with training myself (i.e. without a scheduled lesson with a tutor) on ONS Datacamp, the lack of seats available is problematic and needs to be addressed. If Datacamp is the only option for developing programming skills then more seats need to be available. If there are other avenues available to civil service analysts then they need to advertised more frequently and clearly."
"139","Welsh Government","I don't know the answers to these questions",NA,"Beginner",NA,NA
"141","Department for Business, Energy and Industrial Strategy (excl. agencies)","Looking to change data source for Official Statistics and no point implementing anything like this until that change has happened",NA,"Need time - doing the day job is pretty challenging and finding the time to overhaul things is difficult.",NA,NA
"142","Department for International Trade",NA,"Not sure what is covered by 'quality assure data', is it basic checks like extreme values can checking totals, or more complex QA. ",NA,NA,NA
"143","Department for Business, Energy and Industrial Strategy (excl. agencies)",NA,NA,"One-to-one support and teaching to help develop skills",NA,NA
"144","Other",NA,NA,"Some demonstrattions or example codes of where it has been used in very simplae examples to get us started. Also courses on how to start using GitHub and RAPS with real and easy civil service examples. ",NA,NA
"145","Welsh Government",NA,"Coding tools and systems require management? Who manages these and what comparison is made on the cost of operation/ownership?","Central support - these tools are not readily available or supported in our organisaiton.",NA,NA
"147","Department for Business, Energy and Industrial Strategy (excl. agencies)",NA,"CI, containers and makefiles are a bit much for my work as an analyst.",NA,NA,NA
"149","Ministry of Housing, Communities and Local Government (excl. agencies)",NA,NA,"Example code and coding demonstrations from official statistics producers",NA,NA
"150","Department for Business, Energy and Industrial Strategy (excl. agencies)","Because I don't work on statistical publications or similar, I don't think RAP are so relevant to my work and I'm not currently using them.","Due to IT restrictions, some of these practices are not available in my department.","More time away from the day job.","You could ask people about how their capability compares with the capability required in their team","There seems to be a disconnect between best practice in the programming community, and what IT teams will let analysts do with our work IT. In BEIS, some of this has been overcome through the introduction of CBAS (Cloud-based analytical system) - but because only pure analysts, and not scientists or engineers, can access this, it impedes cross-profession working."
"152","Department for Education","I have heard of RAP but I know very little about it and my team doesn't use it",NA,"Don't know","no",NA
"154","Northern Ireland Statistics and Research Agency",NA,NA,"Training",NA,NA
"155","Welsh Government",NA,NA,"Standardisation",NA,NA
"156","Welsh Government","I'm all for it although don't have the skills to implement it myself however it's not relevant to my team as we support others rather than have any data flows outselves",NA,"Someone to sit with us one to one and explain how to go about it and start us off",NA,"Qu 19 needs a ""non"" option and Qu 18 assumes RAP would be applicable to my current role when it's not so could do with N/A options"
"157","Office for National Statistics","We've not had discussions about this - my team produce official stats using legacy systems that are intended to be replaced.",NA,"Time and training",NA,NA
"159","Office for National Statistics","I know what RAP is but I wouldn't know how to implement it or where to find resources to begin this process",NA,NA,NA,NA
"161","Office for National Statistics",NA,NA,"how to guides",NA,NA
"164","Public Health England",NA,NA,"RAP prioritisation by senior managers",NA,NA
"166","Office for National Statistics",NA,"not really - as G7 I don't do much coding but supervise others to do so","hands on - practical roles - projects ","na","na"
"167","Office for National Statistics","I feel this should be promoted more by senior management",NA,"Online training from an experienced trainer","no",NA
"168","Office for National Statistics",NA,NA,"Standing coding language",NA,NA
"170","Office for National Statistics",NA,NA,NA,NA,"""Reproducible Analytical Pipelines"" seem to be a confusing phrase basically meaning ""re-useable code"". I think encouraging clear code that can be reused is more beneficial than trying to impress multiple packages and pieces of software upon people, particularly as many scripts are written as one-offs."
"171","Office for National Statistics",NA,NA,"Better IT/Environment 
Access to cloud tools (bigquery, cloud functions, app engine/cloud run etc)","No",NA
"173","Office for National Statistics",NA,NA,"training on RAP",NA,NA
"176","Office for National Statistics","Buzz word - lots of ways to skin a cat",NA,"From me","No","You can work most problems out with paper and pencil - coding is just an upgrade on that which makes it faster - it's not an end in itself. It's what you write that counts, not how you write it. The best coder can be the worst statistician/analyst as they rely on the tech rather than the theory. QED the A-level results algorithm: worst kind of black box. "
"177","Office for National Statistics",NA,"No","Training","No","No"
"178","Office for National Statistics",NA,NA,"Accessing training is not straightforward or clear. I can access 'Introduction to' courses for R, Python, and PySpark but then we are seemingly left to our own devices to further our ability. For me I need more structured teaching and being told to simply 'go away and practice' isn't sufficient.","Does there need to be data collected on the proportion of individuals within organisations who are permanent staff vs contractors vs temporary workers? It would be good to know if we are developing the capacity within the organisation rather than loosing important resource/knowledge to non-permanent staff who move on. 
Do we need to look at diversity and inclusion as part of this review? Is there a particular demographic being forgotten about or not developed? Are there barriers for some people that mean they don't feel able to develop their analytic skills in the way that want to?","I would love to see more communication about the training courses/opportunities to develop as a Data Scientist/Analyst. I want to be able to have one central access point where I can see all of the training available to me. "
"179","Office for National Statistics",NA,NA,"More technical resource. Civil Service recruitment captures all rounders but we need experts or be prepared to have more formal training programmes. The skills are just not there.  ",NA,NA
"181","Department for Business, Energy and Industrial Strategy (excl. agencies)","Lack of time","I wish I had time to learn more about this kind of stuff!","Time and relevant training","Better phrased question on knowledge about softwares and languages",NA
"182","Office for National Statistics","As a former academic, I have an understanding of what is a Reproducible Analytical Pipeline, but my department is not encouraging/enforcing this method of work, and I did not know that you were enforcing this approach. I will make sure to raise the issue.","That's just amazing that you speak about all of these practices but no G6s or G7s ever heard of them.","We definitely need more understanding on automatic QA and unit-test, and automatic workflow.

However, the main issue is that the SEOs/HEOs are hired without being selected on their programming ability, the G7s are reluctant to anything that touches software development, and the G6 is not pushing them enough.

So if you want to improve the coding skills of the staff it will be through making sure that the G7s are given precise directive in modernising their workflow and that their progress toward these objectives are tracked.","I think your survey is great.","You need to push the DDs, G6s and G7s toward the directions you are giving in this survey; they control our time and learning development."
"183","Office for National Statistics","My team are aware of RAP but haven't delved into it to know details and apply it to our work. Also, much of our work is one off analysis so I'm not sure how useful RAP is for that type of work.",NA,"Probably someone with specific geographical knowledge coming and talking directly to our team about it so we can work out how to apply RAP to our geographical work. Inside ONS geography is very often overlooked so much of the existing content probably isn't particularly applicable to us.",NA,NA
"184","Office for National Statistics",NA,NA,"Clear, visible guidance on RAP",NA,"This questionnaire would be easier to complete with some question-specific guidance"
"187","Public Health England","I struggle with having the time to learn this given my other work commitments and lack of capacity.",NA,NA,NA,NA
"188","Office for National Statistics","Lazy fast code seems to be common place - people are not taught software engineering techniques and senior managers rarely see the importance in implementing these techniques properly. A lot of analytical scripts in my division are impenetrable as a result.","Using a lot of comments in code seems to be regarded as a good standard at ONS when this should not be the case. Good code should speak for itself as much as possible, this is the point in having high-level languages that people can interpret. Commenting frequently creates many issues:
- you now have to maintain all the comments as well as the code.
- the comments are now replicate the code but in a different user-defined language.
- if a comment is poorly written it can add confusion.
- it means the user can avoid learning how the code works and rely on comments for explanation.
- it increases the length of scripts - some analysis we did in our division demonstrated that longer scripts took longer for people to understand - so, in general, shorter scripts are easier for new users to understand.

The idea that you need to put comments everywhere seems to be proposed by people who don't really understand the language they are coding in. Production / analytical scripts should not act as tutorials - good clean code has few comments so that people who understand the language can quickly see what it's doing.","Help put in place good coding standards in projects people are actually working on - show people how they can improve their code.

More time to code and test code - good quality code can take a long time to produce. It needs to be refined, tested, better solutions need to be researched. I think that people would like their code to be reproducible but often they lack the time to learn how to do it or the support from senior management to spend time doing it.

Tutorial/lecture videos (youtube), podcasts and articles from software engineers/ data scientists in industry - we should aspire to code like the best in the industry.","A question on what language do you prefer to code in would be good as I by far prefer python, yet on the survey my response looks like I use R, SAS, SQL and python equally.

Also, perhaps what language would you like to code if it's one that you are not currently coding in. For e.g. SPSS users may want to learn and use R/python but their project work means they can't. Other languages like C++ or Julia might be very appealing but again may not be supported in project work.",NA
"191","Office for National Statistics",NA,NA,"More regular training on R and Python. Going beyond introduction training and offer more advanced training ",NA,NA
"197","Public Health England","Not enough time or learning space within my current work to explore, learn and implement RAPs",NA,"Time",NA,NA
"199","Office for National Statistics",NA,NA,"More training, specialised to the division ",NA,NA
"200","Office for National Statistics",NA,NA,"We need the time to focus on upskilling in coding, as well as opportunities to practise.","Rather than free-text responses, you may like to collect reasons for answers as multiple choice questions e.g. Why do you not have necessary coding skills? No time, no suitable systems, no access to training etc etc.","It's great to see these questions being asked. Coding is becoming so important but we do not have the tools, training, support or time to properly learn coding practices. Most people can write some code - but very few do it 'properly' e.g. commented, version controlled, QA'ed etc.

As an aside, 'data' is a plural. Thus questions should be 'Are there any additional data...' etc. A minor point - but people working with data will probably notice that."
"201","Office for National Statistics","Never had a formal definition of RAP.",NA,"What is meant by RAP? Our code is an open source workflow, but RAP suggests a standard...",NA,NA
"202","Office for National Statistics","Would be able to find support eventually but wouldn't know who the best person to speak to is. Would probably go to my main MDR contact and hope that they would know where to go.",NA,"Seeing what existing RAP exist. Working with RAP champions to develop the underlying functions and processes so that full functionality for social surveys is available.",NA,NA
"204","Office for National Statistics","I've only heard about it, I don't know anyone who implements it",NA,"The MDataGov program is very helpful, the shorter courses work well in combination with self learning. I think there is plenty of support","No",NA
"205","Public Health England",NA,NA,"Access to courses, especially R, Python and SQL
 Specific training towards official certification i.e. AWS, Azure, GCP engineering.   ",NA,NA
"207","Office for National Statistics",NA,NA,"training sessions, consultancy/support to implement",NA,NA
"209","Public Health England",NA,NA,"Training course","Information on the types of training that other organisations offer. At the present time, we teach ourselves or are given a Datacamp licence. Datacamp has not helped improve my coding skills and yet it's presumed 'Just stick them in front of the screen' and Datacamp will tell them all they need to know...",NA
"210","HM Revenue and Customs","As the person supporting others to implement RAP in their work, I find this question hard to answer.","The frequency of the above practices varies because I work on different projects in different environments, some of which can handle dockerisation and connections to GitLab and others where that's not permitted.","Something for managers to highlight the risk of not implementing RAP and that coding skills are no longer a ""nice to have"" but a necessity. (This is not an issue in my own team, but as someone trying to support others, this appears to be the biggest blocker to analysts)","More information about why RAP/coding isn't being implemented.","When will the data from this survey be available? Will we be allowed out department's actual data? It was disappointing last year to wait so long for the results to then discover we did not have enough coverage to meaningfully break anything down. Also, will there be a way to compare a department against the overall results, rather than just filtering the data."
"213","Office for National Statistics",NA,NA,"Training for RAP
Practical on-the-job help, answering questions as they arise","No",NA
"214","Office for National Statistics",NA,NA,"Regular training sessions online and in class.",NA,NA
"215","HM Revenue and Customs","Have seen the phrase on GSS website but no idea what it means and never heard anyone in the 4 departments I’ve worked in in the last 4 years mention it ",NA,NA,NA,NA
"216","Public Health England",NA,NA,"Rudiments, case studies, webinars",NA,NA
"217","Office for National Statistics",NA,"I don't know where to find ONS or GSG coding guidelines. Attempting to search for this has only returned things like the code of conduct.","An introductory session explaining some of these terms and letting us know where to find resources such as coding guidelines",NA,NA
"220","Office for National Statistics","I don't need RAP for my role - I'm in a temporary non-GSR post. ",NA,"NA - not in a team that needs it ","No","Na"
"221","Ministry of Defence",NA,"A lot of these options are simply not available in my department, or any others I've worked in. Maybe need a strategy to sell these options to analytical communities alongside departmental IT teams","Full description of the implementation tools that would ideally be available and their benefits. It's hard to argue for Travis if nobody in the directorate understands the benefits. Coding skills are developing well internally.",NA,"There appears to be a large gulf between tools available in departments. Even updating R seems to be hugely costly in DHSC due to the bonkers contact with Atos, and to database systems appear to be available. It feels as though a joined up gov-wide strategy is needed to get tools to all, and not just data scientists"
"224","Defence Science and Technology Laboratory",NA,NA,"Dedicated time for peer reviews and discussion of best practice.",NA,NA
"225","Department for Business, Energy and Industrial Strategy (excl. agencies)",NA,NA,"Shared code for all departments with the basics and best practice ",NA,NA
"227","Other","I've implemented elements of RAP in my current role to an extent, and more so in a previous role - but in a less formal and supported basis. I really support the focus on RAP now as it gives me further opportunities to gain support / insight / best practice - particularly as I am seeking to develop a couple of projects linked to this in the future.",NA,"Programming training with a specific focus on RAP and associated best practice (e.g. documentation etc.)",NA,NA
"228","Office for National Statistics",NA,NA,"Technical seminars/workshops explaining what RAP is and how to implement RAP principles in your work",NA,NA
"230","Office for National Statistics","We barely have the resources, staffpower, or coding expertise in our team to produce a minimum viable product, let alone think about reproducibility while we're at it.

As I say whenever the topic comes up, we need to select for at least basic coding skills in our recruiting process. Every single new starter spends weeks or months learning Python from scratch on the job. Which can't be conducive to best practices, either.","I'm not sure whether ""my team open sources its code"" is a meaningful statement in our context.

For one thing, all our code is (meant to be) written in an isolated environment that doesn't even have an internet connection, so there's no way we'd be able to publish our code if we wanted to.

For another, for security reasons we're not allowed to publicise anything that ""reveals the inner workings of our data structures"", which would be the case for any of our code.","Since most new hires have zero experience, the best way of getting to a position where we can implement best practices is to focus on the basics.

The code training resources available to us aren't terrible, but I don't envy new starters. We used to have datacamp licences, but for whatever reason, the office decided not to renew. So having that back (or an equivalent service) would be a good start.","I think it might be useful to ask a bit about general coding resources / capacity in the main block of questions, so that it's easier to express ""I'd like to implement RAP but my team barely meets the prerequisite of being able to code at all"".",NA
"232","Office for National Statistics",NA,NA,"introduction to what it is and how to use it","learning opportunity's i.e. do you find in your role you are offered the training you would like to build technical, analytical skills. 
",NA
"233","Office for National Statistics","I don't know enough about RAP to use it in my area/not sure it's completely applicable as we use LMS data (for which there will be a master pipeline at some point). I do know the GSS quality team have resources & have attended a brief presentation before",NA,"Consistency across GSS/availability and learning around tools",NA,NA
"234","Defence Science and Technology Laboratory",NA,NA,NA,NA,"Many of the questions should have included a ""not applicable"" option. On multiple occasions I was forced to pick an answer even though it wasn't applicable to the work I do. This will give a false representation."
"235","Office for National Statistics",NA,NA,"Time to reproduce SAS/SPSS code in python - this is an ambition of the team but we do not have enough resource for this currently",NA,"Please note my responses re current v previous roles are the result of my having been promoted out of directly analytical roles and into a role where the majority of my time is focussed on project / contract / team management."
"236","Defence Science and Technology Laboratory",NA,NA,"Workshops.",NA,NA
"237","Defence Science and Technology Laboratory",NA,NA,"Coding guides/styles along with associated templates (for the tooling) to make them easy to incorporate.",NA,NA
"240","Office for National Statistics",NA,NA,"a 1-1 person dedicated to helping out with questions and spotting opportunities to implement RAP or improve coding skills. Training courses are less useful as they're less tailored to specific needs. But quick check ins with knowledgable people would be very helpful",NA,NA
"241","Defence Science and Technology Laboratory",NA,NA,"More formal training","More than a binary option when selecting familiarity with a programming language. Time on current role. Which division within dstl I work in. How long have I been with dstl. ","From my short time with Dstl we seem to do a lot of work with MATLAB but have no version control system or central repository for work. I rotate teams a lot and was surprised to find the head of modelling and simulation in a team I worked with wasn't aware of GitHub and hadn't implemented any version control system yet. Have been asked to code plug-ins for modelling software with little to no guidance while being very unqualified to do so as I'm seen as cheap labour being a new starter. We need to hire actual software engineers, or we need the resources to train the engineers we have in software engineering best practices. Being able to write code is a far stretch from being a software engineer and it doesn't seem like everyone appreciates that, from my experience. "
"242","Office for National Statistics",NA,NA,"Upskilling multiple colleagues on the team to ensure there's at least one person on a project who's strict with implement RAP.",NA,NA
"243","Office for National Statistics",NA,NA,"Opportunities to practice regularly and build up skills on the job. Having a clear need to implement it and so learn through that.",NA,NA
"246","Defence Science and Technology Laboratory",NA,NA,"Education of PMs and management on the importance of it being funding within projects.",NA,NA
